[Name]
Series 1 at eksen

[Data]
X [ m ],Pressure [ Pa ]
3.05411792e+00, 9.81243281e+04
3.06614208e+00, 9.76218125e+04
3.07816625e+00, 9.71211719e+04
3.09019041e+00, 9.66216484e+04
3.10221457e+00, 9.61235625e+04
3.11423874e+00, 9.56272266e+04
3.12626290e+00, 9.51327031e+04
3.13828707e+00, 9.46399297e+04
3.15031123e+00, 9.41483203e+04
3.16233540e+00, 9.36584766e+04
3.17435956e+00, 9.31698125e+04
3.18638372e+00, 9.26829141e+04
3.19840789e+00, 9.21975156e+04
3.21043205e+00, 9.17133281e+04
3.22245622e+00, 9.12307344e+04
3.23448038e+00, 9.07496094e+04
3.24650455e+00, 9.02699844e+04
3.25852871e+00, 8.97919453e+04
3.27055287e+00, 8.93151094e+04
3.28257704e+00, 8.88395000e+04
3.29460120e+00, 8.83654844e+04
3.30662537e+00, 8.78928359e+04
3.31864953e+00, 8.74211484e+04
3.33067369e+00, 8.69512500e+04
3.34269786e+00, 8.64820313e+04
3.35472202e+00, 8.60149844e+04
3.36674619e+00, 8.55486797e+04
3.37877035e+00, 8.50837500e+04
3.39079452e+00, 8.46197344e+04
3.40281868e+00, 8.41568750e+04
3.41484284e+00, 8.36952031e+04
3.42686701e+00, 8.32349453e+04
3.43889117e+00, 8.27760078e+04
3.45091534e+00, 8.23180469e+04
3.46293950e+00, 8.18609766e+04
3.47496367e+00, 8.14052734e+04
3.48698783e+00, 8.09509297e+04
3.49901199e+00, 8.04977578e+04
3.51103616e+00, 8.00454844e+04
3.52306032e+00, 7.95943984e+04
3.53508449e+00, 7.91441484e+04
3.54710865e+00, 7.86951641e+04
3.55913281e+00, 7.82474141e+04
3.57115698e+00, 7.78006953e+04
3.58318114e+00, 7.73547656e+04
3.59520531e+00, 7.69099453e+04
3.60722947e+00, 7.64661797e+04
3.61925364e+00, 7.60235313e+04
3.63127780e+00, 7.55816563e+04
3.64330196e+00, 7.51410391e+04
3.65532613e+00, 7.47012578e+04
3.66735029e+00, 7.42620000e+04
3.67937446e+00, 7.38238203e+04
3.69139862e+00, 7.33864844e+04
3.70342278e+00, 7.29501875e+04
3.71544695e+00, 7.25148594e+04
3.72747111e+00, 7.20806484e+04
3.73949528e+00, 7.16474453e+04
3.75151944e+00, 7.12149531e+04
3.76354361e+00, 7.07835234e+04
3.77556777e+00, 7.03533750e+04
3.78759193e+00, 6.99242188e+04
3.79961610e+00, 6.94959688e+04
3.81164026e+00, 6.90686797e+04
3.82366443e+00, 6.86424688e+04
3.83568859e+00, 6.82170000e+04
3.84771276e+00, 6.77926953e+04
3.85973692e+00, 6.73694297e+04
3.87176108e+00, 6.69468281e+04
3.88378525e+00, 6.65247500e+04
3.89580941e+00, 6.61035703e+04
3.90783358e+00, 6.56831328e+04
3.91985774e+00, 6.52636797e+04
3.93188190e+00, 6.48445039e+04
3.94390607e+00, 6.44270859e+04
3.95593023e+00, 6.40095234e+04
3.96795440e+00, 6.35927695e+04
3.97997856e+00, 6.31770352e+04
3.99200273e+00, 6.27617578e+04
4.00402689e+00, 6.23468906e+04
4.01605082e+00, 6.19326484e+04
4.02807474e+00, 6.15194648e+04
4.04009867e+00, 6.11070820e+04
4.05212259e+00, 6.06953711e+04
4.06414652e+00, 6.02842344e+04
4.07617044e+00, 5.98731172e+04
4.08819437e+00, 5.94638281e+04
4.10021830e+00, 5.90546641e+04
4.11224222e+00, 5.86465352e+04
4.12426615e+00, 5.82386328e+04
4.13629007e+00, 5.78318047e+04
4.14831400e+00, 5.74256328e+04
4.16033792e+00, 5.70201094e+04
4.17236185e+00, 5.66146875e+04
4.18438578e+00, 5.62108008e+04
4.19640970e+00, 5.58069297e+04
4.20843363e+00, 5.54038984e+04
4.22045755e+00, 5.50014492e+04
4.23248148e+00, 5.45994297e+04
4.24450541e+00, 5.41981602e+04
4.25652933e+00, 5.37977344e+04
4.26855326e+00, 5.33979453e+04
4.28057718e+00, 5.29984883e+04
4.29260111e+00, 5.25998359e+04
4.30462503e+00, 5.22018711e+04
4.31664896e+00, 5.18045898e+04
4.32867289e+00, 5.14079609e+04
4.34069681e+00, 5.10120352e+04
4.35272074e+00, 5.06163203e+04
4.36474466e+00, 5.02211406e+04
4.37676859e+00, 4.98263281e+04
4.38879251e+00, 4.94323789e+04
4.40081644e+00, 4.90392109e+04
4.41284037e+00, 4.86463242e+04
4.42486429e+00, 4.82537617e+04
4.43688822e+00, 4.78619180e+04
4.44891214e+00, 4.74706250e+04
4.46093607e+00, 4.70798516e+04
4.47296000e+00, 4.66895742e+04
4.48498392e+00, 4.62997578e+04
4.49700785e+00, 4.59105117e+04
4.50903177e+00, 4.55217617e+04
4.52105570e+00, 4.51330117e+04
4.53307962e+00, 4.47449453e+04
4.54510355e+00, 4.43575078e+04
4.55712748e+00, 4.39703789e+04
4.56915140e+00, 4.35834727e+04
4.58117533e+00, 4.31972109e+04
4.59319925e+00, 4.28116836e+04
4.60522318e+00, 4.24262813e+04
4.61724710e+00, 4.20417422e+04
4.62927103e+00, 4.16579414e+04
4.64129496e+00, 4.12741094e+04
4.65331888e+00, 4.08908203e+04
4.66534281e+00, 4.05082422e+04
4.67736673e+00, 4.01261719e+04
4.68939066e+00, 3.97445352e+04
4.70141459e+00, 3.93632773e+04
4.71343851e+00, 3.89824922e+04
4.72546244e+00, 3.86020508e+04
4.73748636e+00, 3.82218164e+04
4.74951029e+00, 3.78418242e+04
4.76153421e+00, 3.74625625e+04
4.77355814e+00, 3.70831758e+04
4.78558207e+00, 3.67040469e+04
4.79760599e+00, 3.63254219e+04
4.80962992e+00, 3.59472578e+04
4.82165384e+00, 3.55697539e+04
4.83367777e+00, 3.51924453e+04
4.84570169e+00, 3.48153633e+04
4.85772562e+00, 3.44390234e+04
4.86974955e+00, 3.40628008e+04
4.88177347e+00, 3.36868320e+04
4.89379740e+00, 3.33110664e+04
4.90582132e+00, 3.29356719e+04
4.91784525e+00, 3.25609160e+04
4.92986917e+00, 3.21865605e+04
4.94189310e+00, 3.18127227e+04
4.95391703e+00, 3.14392988e+04
4.96594095e+00, 3.10660430e+04
4.97796488e+00, 3.06930293e+04
4.98998880e+00, 3.03206602e+04
